experiment_id,geometry,mode,k_min,k_max,n_cells,CP,MPIW,CP_Ankara,CP_Antalya,CP_Konya,CP_Rize,CP_Van,worst_step_dev,CP_AprMay,max_city_deviation,reliability
abl_rize_plus_ankara_s42_smoke,exchangeable,city_season,1.2399431467056274,2.5914835929870605,8,0.9492815186311857,490.6156311035156,0.9516658415387719,,,0.9469142545057345,,0.026584507042253458,0.9560115908982946,0.003085745494265435,0.00071848136881425
abl_rize_plus_ankara_s42_smoke,exchangeable,season_horizon,1.402788758277893,2.8344194889068604,96,0.9477285391944604,498.15716552734375,0.9683334250142105,,,0.927271072273803,,0.008333333333333304,0.9548239988599116,0.022728927726196946,0.002271460805539527
abl_rize_plus_ankara_s42_smoke,exchangeable,city_season_horizon,1.0527865886688232,3.3514468669891357,192,0.9496012496916879,491.8822326660156,0.951739186240534,,,0.947478609138904,,0.007456140350877161,0.9554890504014061,0.002521390861095929,0.00039875030831204583
abl_rize_plus_ankara_s42_smoke,temporal,none,1.0,1.0,0,0.5797064508591941,180.3294219970703,0.6159776489370641,,,0.5426171757528891,,0.42821656050955414,,0.4073828242471108,0.3702935491408058
abl_rize_plus_ankara_s42_smoke,temporal,global,2.019503116607666,2.019503116607666,1,0.9104377748040527,364.17578125,0.9244181161246954,,,0.8961421145336599,,0.079936305732484,,0.05385788546634007,0.03956222519594721
abl_rize_plus_ankara_s42_smoke,temporal,per_horizon,1.6149317026138306,2.3284003734588623,24,0.90912083944009,363.0998229980469,0.9235778506007899,,,0.8943377583021868,,0.0631498470948012,,0.0556622416978132,0.04087916055990992
abl_rize_plus_ankara_s42_smoke,temporal,per_city,1.7152243852615356,2.2587339878082275,2,0.8979162683999236,354.0442199707031,0.8701789765565919,,,0.9262791596855264,,0.08859872611464958,,0.07982102344340802,0.0520837316000764
abl_rize_plus_ankara_s42_smoke,temporal,city_horizon,1.5325920581817627,2.583571672439575,48,0.8972790416109093,352.8774108886719,0.8707251491471305,,,0.9244318425913992,,0.07308868501529042,,0.07927485085286945,0.05272095838909063
abl_rize_plus_ankara_s42_smoke,temporal,per_season,2.019503116607666,2.386152505874634,3,0.9217166889696042,384.97406005859375,0.9343752625829762,,,0.9087726081539718,,0.06312101910828016,,0.041227391846028194,0.02828331103039572
abl_rize_plus_ankara_s42_smoke,temporal,city_season,1.6520488262176514,2.592742443084717,6,0.9162896408164999,379.6108093261719,0.9060373077892614,,,0.9267732096060489,,0.0710191082802547,,0.04396269221073856,0.03371035918350007
