city,season,HR,n,mean,median,q25,q75
Konya,Kış,6,632,0.9225791139240507,0.0,0.0,0.0
Konya,Kış,7,632,49.62626582278481,39.17,26.6375,59.3575
Konya,Kış,8,632,168.70628164556962,168.77499999999998,112.4225,215.0675
Konya,Kış,9,632,285.3667721518987,298.58500000000004,198.5275,363.325
Konya,Kış,10,632,371.9462183544304,394.75,262.9025,465.8975
Konya,Kış,11,632,411.0928797468355,434.53,292.48749999999995,514.2950000000001
Konya,Kış,12,632,406.5690506329114,424.875,294.7,505.7625
Konya,Kış,13,632,352.6184810126582,361.565,250.4025,437.87
Konya,Kış,14,632,264.77781645569615,260.425,179.01250000000002,329.3725
Konya,Kış,15,632,149.90889240506328,132.6,89.51750000000001,192.8125
Konya,Kış,16,632,43.24294303797468,23.060000000000002,8.83,64.365
Konya,Kış,17,632,1.8694936708860759,0.0,0.0,0.0
Konya,Kış,18,632,0.0,0.0,0.0,0.0
Konya,Kış,19,632,0.0,0.0,0.0,0.0
Konya,Kış,20,632,0.0,0.0,0.0,0.0
Konya,Kış,21,632,0.0,0.0,0.0,0.0
Konya,Kış,22,632,0.0,0.0,0.0,0.0
Konya,Kış,23,632,0.0,0.0,0.0,0.0
Konya,İlkbahar,0,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,1,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,2,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,3,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,4,582,0.4190721649484536,0.0,0.0,0.0
Konya,İlkbahar,5,582,31.10360824742268,12.805,0.0,53.762499999999996
Konya,İlkbahar,6,582,135.05646048109966,118.15,42.4175,217.535
Konya,İlkbahar,7,582,292.2221305841924,278.20000000000005,175.4925,421.9275
Konya,İlkbahar,8,582,452.8831271477663,460.125,312.9825,619.6899999999999
Konya,İlkbahar,9,582,588.8833676975945,619.96,443.78499999999997,766.395
Konya,İlkbahar,10,582,673.6903436426118,709.71,529.6475,848.5875000000001
Konya,İlkbahar,11,582,702.1434536082475,727.275,539.5925,882.02
Konya,İlkbahar,12,582,683.7060309278351,709.735,532.5125,851.3100000000001
Konya,İlkbahar,13,582,617.8261168384879,635.9100000000001,477.1075,769.405
Konya,İlkbahar,14,582,517.7475085910653,533.8399999999999,392.33500000000004,648.125
Konya,İlkbahar,15,582,374.93757731958766,378.58,269.03749999999997,483.75
Konya,İlkbahar,16,582,223.23893470790378,214.735,152.2925,288.13
Konya,İlkbahar,17,582,85.49426116838487,72.855,37.3725,122.975
Konya,İlkbahar,18,582,8.739020618556701,2.2,0.0,14.0475
Konya,İlkbahar,19,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,20,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,21,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,22,582,0.0,0.0,0.0,0.0
Konya,İlkbahar,23,582,0.0,0.0,0.0,0.0
Konya,Yaz,0,615,0.0,0.0,0.0,0.0
Konya,Yaz,1,615,0.0,0.0,0.0,0.0
Konya,Yaz,2,615,0.0,0.0,0.0,0.0
Konya,Yaz,3,615,0.0,0.0,0.0,0.0
Konya,Yaz,4,615,1.9904065040650405,0.0,0.0,5.07
Konya,Yaz,5,615,72.37518699186991,76.22,37.165,104.785
Konya,Yaz,6,615,243.8287317073171,250.8,201.435,289.03999999999996
Konya,Yaz,7,615,440.5345528455285,454.15,397.09000000000003,492.24
Konya,Yaz,8,615,627.4436422764228,645.4,591.7,679.9449999999999
Konya,Yaz,9,615,777.9203577235772,797.38,748.8900000000001,833.75
Konya,Yaz,10,615,876.9626829268293,897.42,850.835,939.7249999999999
Konya,Yaz,11,615,912.0168292682927,933.12,885.675,983.3499999999999
Konya,Yaz,12,615,891.2917073170732,916.15,851.54,972.7750000000001
Konya,Yaz,13,615,805.9335934959349,837.45,742.7,902.9649999999999
Konya,Yaz,14,615,693.2029430894308,713.3,640.83,781.325
Konya,Yaz,15,615,530.6601463414634,549.67,474.375,615.83
Konya,Yaz,16,615,351.43705691056914,359.33,296.95000000000005,420.875
Konya,Yaz,17,615,179.0118211382114,182.1,134.305,224.115
Konya,Yaz,18,615,40.27567479674797,42.25,19.41,59.675
Konya,Yaz,19,615,0.0,0.0,0.0,0.0
Konya,Yaz,20,615,0.0,0.0,0.0,0.0
Konya,Yaz,21,615,0.0,0.0,0.0,0.0
Konya,Yaz,22,615,0.0,0.0,0.0,0.0
Konya,Yaz,23,615,0.0,0.0,0.0,0.0
Konya,Sonbahar,0,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,1,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,2,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,3,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,4,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,5,637,1.8828885400313973,0.0,0.0,0.0
Konya,Sonbahar,6,637,59.796891679748825,45.42,11.93,104.85
Konya,Sonbahar,7,637,210.95910518053378,210.4,125.62,296.25
Konya,Sonbahar,8,637,375.30824175824176,382.23,277.8,490.33
Konya,Sonbahar,9,637,512.3789167974883,528.55,405.75,649.7
Konya,Sonbahar,10,637,603.6029356357928,624.72,496.1,751.47
Konya,Sonbahar,11,637,635.3710518053375,651.8,519.9,783.28
Konya,Sonbahar,12,637,606.1795918367347,617.33,485.75,756.92
Konya,Sonbahar,13,637,516.9405494505495,514.65,404.45,660.08
Konya,Sonbahar,14,637,394.84668759811615,382.15,282.92,523.42
Konya,Sonbahar,15,637,240.8032810047096,219.9,142.23,337.25
Konya,Sonbahar,16,637,92.61105180533751,64.62,17.85,150.9
Konya,Sonbahar,17,637,13.729199372056515,0.0,0.0,17.83
Konya,Sonbahar,18,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,19,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,20,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,21,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,22,637,0.0,0.0,0.0,0.0
Konya,Sonbahar,23,637,0.0,0.0,0.0,0.0
Rize,Kış,0,632,0.0,0.0,0.0,0.0
Rize,Kış,1,632,0.0,0.0,0.0,0.0
Rize,Kış,2,632,0.0,0.0,0.0,0.0
Rize,Kış,3,632,0.0,0.0,0.0,0.0
Rize,Kış,4,632,0.0,0.0,0.0,0.0
Rize,Kış,5,632,0.0,0.0,0.0,0.0
Rize,Kış,6,632,0.0,0.0,0.0,0.0
Rize,Kış,7,632,5.148101265822785,0.0,0.0,6.2975
Rize,Kış,8,632,64.05183544303797,57.900000000000006,33.62,82.13
Rize,Kış,9,632,156.30960443037975,147.415,90.75,211.26749999999998
Rize,Kış,10,632,238.74786392405062,225.735,142.1375,328.90999999999997
Rize,Kış,11,632,294.80072784810125,282.565,181.615,404.4675
Rize,Kış,12,632,311.9522468354431,308.85,189.60750000000002,423.87
Rize,Kış,13,632,285.9873417721519,285.67499999999995,167.905,384.3025
Rize,Kış,14,632,226.1265506329114,215.025,126.3875,299.0075
Rize,Kış,15,632,140.18324367088607,124.925,75.125,178.2475
Rize,Kış,16,632,51.30490506329114,33.915,16.415,70.32
Rize,Kış,17,632,5.660363924050633,0.0,0.0,6.827500000000001
Rize,Kış,18,632,0.0,0.0,0.0,0.0
Rize,Kış,19,632,0.0,0.0,0.0,0.0
