city,resolution,lag,acf,pacf
Konya,saatlik,19,0.5364317650086753,
Konya,saatlik,20,0.5345967316102274,
Konya,saatlik,21,0.5294964694144129,
Konya,saatlik,22,0.5251778966105813,
Konya,saatlik,23,0.523689785257795,
Konya,saatlik,24,0.5191795001935174,
Konya,saatlik,25,0.5053816989522734,
Konya,saatlik,26,0.48999944846557747,
Konya,saatlik,27,0.47672761297162847,
Konya,saatlik,28,0.463595480586233,
Konya,saatlik,29,0.4486337605899593,
Konya,saatlik,30,0.4329515718285311,
Konya,saatlik,31,0.41801343084419906,
Konya,saatlik,32,0.39970811181208404,
Konya,saatlik,33,0.3734811542344208,
Konya,saatlik,34,0.34543969151707177,
Konya,saatlik,35,0.2908997626583875,
Konya,saatlik,36,0.20525817645696431,
Konya,saatlik,37,0.2721064950409416,
Konya,saatlik,38,0.31948074662629433,
Konya,saatlik,39,0.3424537316320859,
Konya,saatlik,40,0.35489392549734056,
Konya,saatlik,41,0.36028605975192207,
Konya,saatlik,42,0.360747060783795,
Konya,saatlik,43,0.36175844674003477,
Konya,saatlik,44,0.36192289597470245,
Konya,saatlik,45,0.35878074329839926,
Konya,saatlik,46,0.3567261674356807,
Konya,saatlik,47,0.35765704384332747,
Konya,saatlik,48,0.35863989479231856,
Konya,saatlik,49,0.35046588770720744,
Konya,saatlik,50,0.34073781953572746,
Konya,saatlik,51,0.33476285722947974,
Konya,saatlik,52,0.3284257309939403,
Konya,saatlik,53,0.32025498608344405,
Konya,saatlik,54,0.30995165480672515,
Konya,saatlik,55,0.30019949161556314,
Konya,saatlik,56,0.28914087724166526,
Konya,saatlik,57,0.2722228057504967,
Konya,saatlik,58,0.2437149972737192,
Konya,saatlik,59,0.2074797624779075,
Konya,saatlik,60,0.14196195369071682,
Konya,saatlik,61,0.21515220750232314,
Konya,saatlik,62,0.2563721351649132,
Konya,saatlik,63,0.2781918635411278,
Konya,saatlik,64,0.28737476040273063,
Konya,saatlik,65,0.2905702070345607,
Konya,saatlik,66,0.29127394307058685,
Konya,saatlik,67,0.2911183289835965,
Konya,saatlik,68,0.2905355517068515,
Konya,saatlik,69,0.2886888787478206,
Konya,saatlik,70,0.287530256331922,
Konya,saatlik,71,0.29027266731018886,
Konya,saatlik,72,0.291176104290549,
Konya,günlük,1,0.5602634088191049,0.5602634088191049
Konya,günlük,2,0.379992092181945,0.0963365859843997
Konya,günlük,3,0.30278510110980295,0.08301031780043713
Konya,günlük,4,0.2815362727039059,0.09409022496182244
Konya,günlük,5,0.2691742427679061,0.07435022671502521
Konya,günlük,6,0.25648651393299926,0.05991550303228859
Konya,günlük,7,0.24314802069084654,0.049294901416250245
Konya,günlük,8,0.22248091328016883,0.02908920656142205
Konya,günlük,9,0.21141216575240293,0.03487021177432006
Konya,günlük,10,0.2012603603244649,0.027750384701065486
Konya,günlük,11,0.19750646655011203,0.03222115850788348
Konya,günlük,12,0.18414968410424257,0.01457044264157224
Konya,günlük,13,0.19726714295389441,0.05218597638984541
Konya,günlük,14,0.21723574376429167,0.06051910291312302
Konya,günlük,15,0.22285879677122936,0.043279894828412394
Konya,günlük,16,0.23930848421368847,0.06507789549313103
Konya,günlük,17,0.20821685000699408,-0.006655810908437758
Konya,günlük,18,0.19055241307246462,0.010624995163260972
Konya,günlük,19,0.19898898959412648,0.039158616080266336
